externalId,name,compressor_station_externalId,tag,make,model,compressorType,serialNumber,driverType,ratedHorsepower,maxRpm,designSuctionPressure,designDischargePressure,maxVolumetricFlowRate,efficiencyCurveReference,installationDate,lastMajorOverhaulDate
n_cs1_c1,North CS1 Compressor 1,north_cs_1,N-CS1-C1,BrandA,Model-1,Reciprocating,SN-1001,gas engine,"1500 HP",1800,"200 psi","2000 psi","10 MMscf/d",EC-BrandA-Model-1,2022-03-01,2023-01-15
n_cs1_c2,North CS1 Compressor 2,north_cs_1,N-CS1-C2,BrandB,Model-2,Reciprocating,SN-1002,gas engine,"1800 HP",1500,"200 psi","2000 psi","12 MMscf/d",EC-BrandB-Model-2,2022-03-01,2023-01-20
n_cs1_c3,North CS1 Compressor 3,north_cs_1,N-CS1-C3,BrandA,Model-3,Reciprocating,SN-1003,gas engine,"3000 HP",1800,"200 psi","2000 psi","20 MMscf/d",EC-BrandA-Model-3,2022-03-05,2023-01-25
n_cs2_c1,North CS2 Compressor 1,north_cs_2,N-CS2-C1,BrandA,Model-1,Reciprocating,SN-2001,gas engine,"1500 HP",1800,"220 psi","2200 psi","10 MMscf/d",EC-BrandA-Model-1,2022-03-01,2023-01-15
n_cs2_c2,North CS2 Compressor 2,north_cs_2,N-CS2-C2,BrandB,Model-2,Reciprocating,SN-2002,gas engine,"1800 HP",1500,"220 psi","2200 psi","12 MMscf/d",EC-BrandB-Model-2,2022-03-01,2023-01-20
n_cs2_c3,North CS2 Compressor 3,north_cs_2,N-CS2-C3,BrandA,Model-3,Reciprocating,SN-2003,gas engine,"3000 HP",1800,"220 psi","2200 psi","20 MMscf/d",EC-BrandA-Model-3,2022-03-05,2023-01-25
n_cs2_c4,North CS2 Compressor 4,north_cs_2,N-CS2-C4,BrandB,Model-4,Reciprocating,SN-2004,gas engine,"1380 HP",1800,"220 psi","2200 psi","9 MMscf/d",EC-BrandB-Model-4,2022-03-05,2023-01-28
s_cs1_c1,South CS1 Compressor 1,south_cs_1,S-CS1-C1,BrandA,Model-5,Reciprocating,SN-3001,electric motor,"6000 HP",1200,"210 psi","2100 psi","40 MMscf/d",EC-BrandA-Model-5,2022-03-05,2023-02-01
s_cs1_c2,South CS1 Compressor 2,south_cs_1,S-CS1-C2,BrandB,Model-6,Reciprocating,SN-3002,electric motor,"600 HP",2000,"210 psi","2100 psi","4 MMscf/d",EC-BrandB-Model-6,2022-03-10,2023-02-05
s_cs1_c3,South CS1 Compressor 3,south_cs_1,S-CS1-C3,BrandA,Model-1,Reciprocating,SN-3003,electric motor,"1500 HP",1800,"210 psi","2100 psi","10 MMscf/d",EC-BrandA-Model-1,2022-03-01,2023-01-15 